,lead_ticker,next_ticker,bd_of_month,lead_weight,next_weight,is_mde,roll_required,wav,pwav,der,er_index,ir,tr_index
2016-04-22,CLF17,CLJ17,16,0.0,1.0,False,True,0.047009999999999996,0.046340000000000006,0.014458351316357199,100.77262744,6.390767244512929e-06,100.85893899
2016-04-25,CLF17,CLJ17,17,0.0,1.0,False,True,0.04647,0.047009999999999996,-0.01148691767708998,99.61506056,1.9172424259306098e-05,99.70231437
2016-04-26,CLF17,CLJ17,18,0.0,1.0,False,True,0.047479999999999994,0.04647,0.021734452334839727,101.78013935,6.390767244512929e-06,101.86992675
2016-04-27,CLF17,CLJ17,19,0.0,1.0,False,True,0.04862,0.047479999999999994,0.024010109519797762,104.22389164,6.390767244512929e-06,104.31648587
2016-04-28,CLF17,CLJ17,20,0.0,1.0,False,True,0.04904,0.04862,0.008638420403126457,105.12422143,6.390767244512929e-06,105.21828219
2016-04-29,CLF17,CLJ17,21,0.0,1.0,False,True,0.04874,0.04904,-0.006117455138662353,104.48112872,6.390767244512929e-06,104.57528649
2016-05-02,CLJ17,CLJ17,1,1.0,0.0,False,False,0.047689999999999996,0.04874,-0.02154288059089049,102.23030424,1.9172424259306098e-05,102.32443854
2016-05-03,CLJ17,CLJ17,2,1.0,0.0,False,False,0.046990000000000004,0.047689999999999996,-0.01467812958691539,100.72975459,8.058542054101281e-06,100.82333176
2016-05-04,CLJ17,CLJ17,3,1.0,0.0,False,False,0.0469,0.046990000000000004,-0.0019153011278997267,100.53682678,8.058542054101281e-06,100.63103721
2016-05-05,CLJ17,CLJ17,4,1.0,0.0,False,False,0.04725,0.0469,0.007462686567164312,101.28710161,8.058542054101281e-06,101.38282604
2016-05-06,CLJ17,CLJ17,5,1.0,0.0,False,False,0.04778,0.04725,0.011216931216931236,102.42323206,8.058542054101281e-06,102.52084722
2016-05-09,CLJ17,CLJ17,6,1.0,0.0,False,False,0.04654,0.04778,-0.02595228128924243,99.76511553,2.4175820982907936e-05,99.86267588
2016-05-10,CLJ17,CLJ17,7,1.0,0.0,False,False,0.048,0.04654,0.0313708637730985,102.89483338,8.058542054101281e-06,102.99625903
2016-05-11,CLJ17,CLJ17,8,1.0,0.0,False,False,0.04944,0.048,0.030000000000000027,105.98167838,8.058542054101281e-06,106.0869768
2016-05-12,CLJ17,CLJ17,9,1.0,0.0,False,False,0.04978,0.04944,0.006877022653721587,106.71051678,8.058542054101281e-06,106.81739425
2016-05-13,CLJ17,CLJ17,10,1.0,0.0,False,False,0.04927,0.04978,-0.010245078344716663,105.61725918,8.058542054101281e-06,105.72390247
2016-05-16,CLJ17,CLJ17,11,1.0,0.0,False,False,0.05027,0.04927,0.020296326364928063,107.76090154,2.4175820982907936e-05,107.87226526
2016-05-17,CLJ17,CLJ17,12,1.0,0.0,False,False,0.05083,0.05027,0.011139844837875446,108.96134126,8.058542054101281e-06,109.07481485
2016-05-18,CLJ17,CLJ17,13,1.0,0.0,False,False,0.05078,0.05083,-0.0009836710603974286,108.85415914,8.058542054101281e-06,108.96840009
2016-05-19,CLJ17,CLJ17,14,1.0,0.0,False,False,0.05065,0.05078,-0.0025600630169357874,108.57548563,8.058542054101281e-06,108.69031224
2016-05-20,CLJ17,CLJ17,15,1.0,0.0,False,False,0.05044,0.05065,-0.004146100691016841,108.12532073,8.058542054101281e-06,108.24054714
2016-05-23,CLJ17,CLJ17,16,1.0,0.0,False,False,0.05028,0.05044,-0.003172085646312439,107.78233795,2.4175820982907936e-05,107.89981566
2016-05-24,CLJ17,CLJ17,17,1.0,0.0,False,False,0.0507,0.05028,0.00835322195704058,108.68266774,8.058542054101281e-06,108.80199628
2016-05-25,CLJ17,CLJ17,18,1.0,0.0,False,False,0.0515,0.0507,0.015779092702169484,110.39758163,8.058542054101281e-06,110.51966985
2016-05-26,CLJ17,CLJ17,19,1.0,0.0,False,False,0.05157,0.0515,0.0013592233009709354,110.5476366,8.058542054101281e-06,110.67078139
2016-05-27,CLJ17,CLJ17,20,1.0,0.0,False,False,0.051590000000000004,0.05157,0.0003878223773512435,110.59050945,8.058542054101281e-06,110.71459384
2016-05-31,CLJ17,CLJ17,21,1.0,0.0,False,False,0.05139,0.051590000000000004,-0.00387672029463082,110.16178098,3.223455785894558e-05,110.28895317
2016-06-01,CLJ17,CLJ17,1,1.0,0.0,False,False,0.05133,0.05139,-0.0011675423234092097,110.03316244,8.058542054101281e-06,110.16107492
2016-06-02,CLJ17,CLJ17,2,1.0,0.0,False,False,0.05156,0.05133,0.004480810442236471,110.52620018,7.5025886843160805e-06,110.6555123
2016-06-03,CLJ17,CLJ17,3,1.0,0.0,False,False,0.05103,0.05156,-0.010279286268425225,109.39006973,7.5025886843160805e-06,109.51888282
2016-06-06,CLJ17,CLJ17,4,1.0,0.0,False,False,0.052020000000000004,0.05103,0.01940035273368612,111.51227567,2.2507934920090733e-05,111.64605282
2016-06-07,CLJ17,CLJ17,5,1.0,0.0,False,False,0.05276,0.052020000000000004,0.014225297962322081,113.09857102,7.5025886843160805e-06,113.23508882
2016-06-08,CLJ17,CLJ17,6,1.0,0.0,False,False,0.05366,0.05276,0.0170583775587565,115.02784915,7.5025886843160805e-06,115.16754528
2016-06-09,CLJ17,CLJ17,7,1.0,0.0,False,False,0.053270000000000005,0.05366,-0.007267983600447114,114.19182863,7.5025886843160805e-06,114.33137351
2016-06-10,CLJ17,CLJ17,8,1.0,0.0,False,False,0.05205,0.053270000000000005,-0.022902196358175475,111.57658495,7.5025886843160805e-06,111.71379173
2016-06-13,CLJ17,CLJ17,9,1.0,0.0,False,False,0.05193,0.05205,-0.002305475504322807,111.31934787,2.2507934920090733e-05,111.45875277
2016-06-14,CLJ17,CLJ17,10,1.0,0.0,False,False,0.0514,0.05193,-0.010206046601193841,110.18321742,7.5025886843160805e-06,110.32203578
