date,lead_ticker,next_ticker,bd_of_month,lead_weight,next_weight,is_mde,wav,pwav,der,er_index,ir,tr_index
2024-08-30,CLU24,CLV24,22,0.0,1.0,False,0.07354999999999999,0.07590999999999999,-0.031089448030562572,115.19582179,0.0001411907798891665,136.05758761
2024-09-03,CLV24,CLX24,1,1.0,0.0,False,0.07034,0.07354999999999999,-0.04364377974167222,110.16824072,0.0005648827398336831,130.19637681
2024-09-04,CLV24,CLX24,2,1.0,0.0,False,0.0692,0.07034,-0.0162069945976685,108.38274464,0.0001321894110604127,128.10349542
2024-09-05,CLV24,CLX24,3,1.0,0.0,False,0.06915,0.0692,-0.0007225433526010239,108.30443341,0.0001321894110604127,128.02786902
2024-09-06,CLV24,CLX24,4,1.0,0.0,False,0.06767000000000001,0.06915,-0.021402747650036136,105.98642095,0.0001321894110604127,125.30464477
2024-09-09,CLV24,CLX24,5,1.0,0.0,False,0.06871,0.06767000000000001,0.015368701049209177,107.61529457,0.00039662065761247867,127.28011281
2024-09-10,CLV24,CLX24,6,0.8,0.2,False,0.06575,0.06871,-0.04307960995488269,102.97926965,0.0001321894110604127,121.81376027
2024-09-11,CLV24,CLX24,7,0.6,0.4,False,0.067168,0.065628,0.023465593953800212,105.39573938,0.0001321894110604127,124.688295
2024-09-12,CLV24,CLX24,8,0.3999999999999999,0.6000000000000001,False,0.06864200000000001,0.067026,0.024110046847492184,107.93683559,0.0001321894110604127,127.7110181
2024-09-13,CLV24,CLX24,9,0.19999999999999996,0.8,False,0.06811,0.06847800000000001,-0.005373988726306345,107.35678425,0.0001321894110604127,127.04158257
2024-09-16,CLV24,CLX24,10,0.0,1.0,False,0.069234,0.06793,0.019196231414691622,109.41762992,0.00039662065761247867,129.5306895
2024-09-17,CLV24,CLX24,11,0.0,1.0,False,0.06996,0.06902,0.013619240799768173,110.90781497,0.0001321894110604127,131.31192174
2024-09-18,CLV24,CLX24,12,0.0,1.0,False,0.06988,0.06996,-0.0011435105774727505,110.78099071,0.0001321894110604127,131.17912321
2024-09-19,CLV24,CLX24,13,0.0,1.0,False,0.07116,0.06988,0.018317115054379052,112.81017886,0.0001321894110604127,133.59928679
2024-09-20,CLV24,CLX24,14,0.0,1.0,False,0.071,0.07116,-0.0022484541877459963,112.55653034,0.0001321894110604127,133.31655532
2024-09-23,CLV24,CLX24,15,0.0,1.0,False,0.07037,0.071,-0.008873239436619551,111.5577893,0.00039662065761247867,132.18648171
2024-09-24,CLV24,CLX24,16,0.0,1.0,False,0.07156,0.07037,0.016910615319027933,113.44430016,0.0001321894110604127,134.4393101
2024-09-25,CLV24,CLX24,17,0.0,1.0,False,0.06969,0.07156,-0.026131917272219085,110.47978309,0.0001321894110604127,130.94392462
2024-09-26,CLV24,CLX24,18,0.0,1.0,False,0.06767000000000001,0.06969,-0.02898550724637672,107.27747054,0.0001321894110604127,127.16575795
2024-09-27,CLV24,CLX24,19,0.0,1.0,False,0.06818,0.06767000000000001,0.007536574552977626,108.08597519,0.0001321894110604127,128.14096213
2024-09-30,CLV24,CLX24,20,0.0,1.0,False,0.06817000000000001,0.06818,-0.0001466705778819799,108.07012216,0.00039662065761247867,128.17299098
2024-10-01,CLX24,CLZ24,1,1.0,0.0,False,0.06983,0.06817000000000001,0.024350887487164297,110.70172555,0.0001321894110604127,131.31106018
2024-10-02,CLX24,CLZ24,2,1.0,0.0,False,0.0701,0.06983,0.0038665330087352956,111.12975743,0.0001262863107172052,131.83536152
2024-10-03,CLX24,CLZ24,3,1.0,0.0,False,0.07371,0.0701,0.051497860199714696,116.85270214,0.0001262863107172052,138.64124954
2024-10-04,CLX24,CLZ24,4,1.0,0.0,False,0.07438,0.07371,0.009089675756342563,117.91485531,0.0001262863107172052,139.91896203
2024-10-07,CLX24,CLZ24,5,1.0,0.0,False,0.07714,0.07438,0.03710674912610923,122.29029226,0.0003789067788626532,145.16391609
2024-10-08,CLX24,CLZ24,6,0.8,0.2,False,0.07357,0.07714,-0.04627949183303093,116.63075968,0.0001262863107172052,138.46413604
2024-10-09,CLX24,CLZ24,7,0.6,0.4,False,0.07311000000000001,0.073452,-0.004656101944126689,116.08771497,0.0001262863107172052,137.83691903
2024-10-10,CLX24,CLZ24,8,0.3999999999999999,0.6000000000000001,False,0.07555400000000001,0.07298,0.0352699369690328,120.18212136,0.0001262863107172052,142.71582539
2024-10-11,CLX24,CLZ24,9,0.19999999999999996,0.8,False,0.075134,0.075406,-0.0036071400153833144,119.74860762,0.0001262863107172052,142.21905248
2024-10-14,CLX24,CLZ24,10,0.0,1.0,False,0.073358,0.074992,-0.02178899082568808,117.13940631,0.0003789067788626532,139.17413062
2024-10-15,CLX24,CLZ24,11,0.0,1.0,False,0.07001,0.07324,-0.04410158383397045,111.97337296,0.0001262863107172052,133.05390682
2024-10-16,CLX24,CLZ24,12,0.0,1.0,False,0.06982,0.07001,-0.002713898014569449,111.66948865,0.0001262863107172052,132.70961498
2024-10-17,CLX24,CLZ24,13,0.0,1.0,False,0.07009,0.06982,0.0038670867946148935,112.10132425,0.0001262863107172052,133.23957398
2024-10-18,CLX24,CLZ24,14,0.0,1.0,False,0.06869,0.07009,-0.01997431873305744,109.86217667,0.0001262863107172052,130.5950306
2024-10-21,CLX24,CLZ24,15,0.0,1.0,False,0.07004,0.06869,0.019653515795603482,112.02135469,0.0003789067788626532,133.21116543
2024-10-22,CLX24,CLZ24,16,0.0,1.0,False,0.07174,0.07004,0.024271844660194164,114.74031961,0.0001262863107172052,136.46126889
2024-10-23,CLX24,CLZ24,17,0.0,1.0,False,0.07077,0.07174,-0.013521048229718446,113.18891021,0.0001262863107172052,134.63340268
