date,year,month,market_condition,static_roll_out,static_roll_in,static_roll_spread,dynamic_roll_out,dynamic_roll_in,roll_required,dynamic_roll_spread,spread_saving
2025-03-10,2025,3,Backwardation,CLJ25,CLK25,0.30400000000000205,CLU25,CLN25,True,-0.8599999999999965,-1.1639999999999986
2025-04-08,2025,4,Backwardation,CLK25,CLM25,0.5060000000000002,CLN25,CLN25,False,0.0,-0.5060000000000002
2025-05-08,2025,5,Backwardation,CLM25,CLN25,0.4219999999999999,CLN25,CLN25,False,0.0,-0.4219999999999999
2025-06-09,2025,6,Backwardation,CLN25,CLQ25,1.2960000000000036,CLN25,CLQ25,True,1.2960000000000036,0.0
2025-07-09,2025,7,Backwardation,CLQ25,CLU25,1.265999999999997,CLQ25,CLU25,True,1.265999999999997,0.0
2025-08-08,2025,8,Backwardation,CLU25,CLV25,0.8180000000000007,CLU25,CLV25,True,0.8180000000000007,0.0
2025-09-09,2025,9,Backwardation,CLV25,CLX25,0.2999999999999986,CLV25,CLX25,True,0.2999999999999986,0.0
2025-10-08,2025,10,Backwardation,CLX25,CLZ25,0.4559999999999988,CLX25,CLZ25,True,0.4559999999999988,0.0
2025-11-10,2025,11,Backwardation,CLZ25,CLF26,0.06799999999999926,CLZ25,CLG26,True,0.19200000000000017,0.12400000000000092
2025-12-08,2025,12,Backwardation,CLF26,CLG26,0.18599999999999994,CLG26,CLG26,False,0.0,-0.18599999999999994
2026-01-09,2026,1,Backwardation,CLG26,CLH26,0.16599999999999965,CLG26,CLH26,True,0.16599999999999965,0.0
2026-02-09,2026,2,Backwardation,CLH26,CLJ26,0.1660000000000011,CLH26,CLV26,True,1.686,1.519999999999999
2026-03-09,2026,3,Backwardation,CLJ26,CLK26,1.797999999999999,CLV26,CLM26,True,-10.612000000000004,-12.410000000000002
